Tier,Nama Hero,Role,Lane
D,Clint,Marksman,Gold Lane
D,Argus,Fighter,Exp Lane
D,Kagura,Mage,Mid Lane
D,Valir,Mage,Mid Lane
D,Odette,Mage,Mid Lane
D,Xavier,Mage,Mid Lane
D,Cecilion,Mage,Mid Lane
D,Nolan,Assassin,Jungle
D,Melissa,Marksman,Gold Lane
D,Carmilla,"Support, Tank",Roam
D,Khaleed,Fighter,"Exp Lane, Roam"
D,Chang'e,Mage,Mid Lane
D,Uranus,Tank,Exp Lane
D,Atlas,Tank,Roam
D,Popol and Kupa,Marksman,"Jungle, Gold Lane"
D,Alpha,Fighter,"Jungle, Exp Lane"
D,Tigreal,Tank,Roam
D,Layla,Marksman,Gold Lane
D,Brody,Marksman,Gold Lane
D,Suyou,"Assassin, Fighter",Jungle
D,Faramis,"Support, Mage",Mid Lane
D,Miya,Marksman,Gold Lane
D,Gord,Mage,Mid Lane
D,Benedetta,"Assassin, Fighter",Exp Lane
D,Nana,Mage,Mid Lane
D,Lunox,Mage,Mid Lane
D,Kaja,"Support, Fighter",Roam
D,Esmeralda,"Tank, Mage",Exp Lane
D,Akai,Tank,Roam
D,Terizla,"Fighter, Tank",Exp Lane
D,Baxia,Tank,Jungle
D,Pharsa,Mage,Mid Lane
D,Chou,Fighter,"Exp Lane, Roam"
D,Chip,"Support, Tank",Roam
D,Roger,"Fighter, Marksman",Jungle
D,Aulus,Fighter,Jungle
D,Karrie,Marksman,Gold Lane
D,Moskov,Marksman,Gold Lane
D,Karina,Assassin,Jungle
D,Edith,"Tank, Marksman","Exp Lane, Roam"
D,Johnson,"Tank, Support",Roam
D,Khufra,Tank,Roam
D,Aldous,Fighter,Exp Lane
D,Selena,"Assassin, Mage","Mid Lane, Roam"
D,Beatrix,Marksman,Gold Lane
D,Mathilda,"Support, Assassin",Roam
D,Lukas,Fighter,"Exp Lane, Jungle"
D,Barats,"Tank, Fighter",Jungle
D,Vale,Mage,Mid Lane
D,Zhask,Mage,Mid Lane
D,Bruno,Marksman,Gold Lane
D,Jawhead,Fighter,"Roam, Exp Lane"
D,Claude,Marksman,Gold Lane
D,Lylia,Mage,Mid Lane
D,Leomord,Fighter,Jungle
D,Hylos,Tank,Roam
D,Novaria,Mage,Mid Lane
D,Aurora,Mage,Mid Lane
D,Zilong,"Fighter, Assassin",Exp Lane
D,Ling,Assassin,Jungle
D,Martis,Fighter,Jungle
D,Luo Yi,Mage,Mid Lane
D,Harith,Mage,"Gold Lane, Mid Lane"
D,Dyrroth,Fighter,"Exp Lane, Jungle"
D,Paquito,"Fighter, Assassin",Exp Lane
D,Balmond,Fighter,"Jungle, Exp Lane"
D,Valentina,Mage,Mid Lane
